HORA;bandera;liga;HOME;AWAY;;ARBITRO;;1X2;TEN HOME;TEN AWAY;TIROS HOME;TIROS AWAY;GOLES HOME;GOLES AWAY;GOLES TOTAL;COR HOME;COR AWAY;CORNERS;FALTAS HOME;FALTAS AWAY;AMARILLAS HOME;AMARILLAS AWAY;ARBITRO AMARILLAS;AMARILLAS TOTAL;ROJAS HOME;ROJAS AWAY;ARBITRO ROJAS;ROJAS TOTAL;PENALTIS HOME;PENALTIS AWAY;ARBITRO PENALTIS;PENALTIS TOTAL;GAT;1;X;2;+2.5;-2.5;AEMSI;AEMNO;POISSON_LAMBDA_HOME;POISSON_LAMBDA_AWAY;P_CUOTA_1;P_CUOTA_X;P_CUOTA_2;P_CUOTA_OVER25;P_CUOTA_UNDER25;CASA_PROB_1;CASA_PROB_X;CASA_PROB_2;CASA_PROB_OVER25;CASA_PROB_UNDER25;MARGEN_CASA_1X2;MARGEN_CASA_GOLES;VALUE_1;VALUE_X;VALUE_2;VALUE_OVER25;VALUE_UNDER25;RECOMENDACION;URL flashscore;Slug HOME;Slug AWAY;URL_2H
9:00;Imagen;AUS;Newcastle Jets;Central Coast Mariners;+;;;15.00%;4.314433768;2.670368767;15.31;11.27;1.958627425;1.302841776;3.261469202;5.58;3.54;9.12;8.96;9.27;1.485;1.6775;0;1.58125;0.075;0.195;0;0.135;#N/D;#N/D;0;0;#N/D;1.47;4.6;5;1.28;3.5;1.4;2.8;1.958627425;1.302841776;0.511933928;0.219349922;0.251379171;0.61543979;0.36722323;0.680272109;0.217391304;0.2;0.78125;0.285714286;0.097663413;0.066964286;-0.168338181;0.001958618;0.051379171;-0.16581021;0.081508944;UNDER2.5;https://www.flashscore.mobi/match/OG4JsdLk/?t=stats;newcastle-jets-EaZ5xZo0;central-coast-Wzp1wFWg;https://www.flashscore.com/match/football/newcastle-jets-EaZ5xZo0/central-coast-Wzp1wFWg/summary/stats/2nd-half/?mid=OG4JsdLk
11:35;Imagen;AUS;WS Wanderers;Melbourne Victory;+;Daniel Elder;G;-18.00%;2.014484952;4.679855076;14.885;15.805;1.391307463;2.483032566;3.874340028;4.965;5.345;10.31;10.155;8.54;1.6175;1.7925;3.445;3.4275;0.04;0.115;0.135;0.15175;0.090909091;0.045454545;0.35;0.243181818;#N/D;3.1;3.5;2.05;1.53;2.4;1.44;2.5;1.391307463;2.483032566;0.199330492;0.184110285;0.572682907;0.699023756;0.257099927;0.322580645;0.285714286;0.487804878;0.653594771;0.416666667;0.096099809;0.070261438;-0.123250153;-0.101604001;0.084878029;0.045428985;-0.159566739;2;https://www.flashscore.mobi/match/dU2Ruzj2/?t=stats;western-sydney-wanderers-l00pXxBN;melbourne-victory-Qql6CzOP;https://www.flashscore.com/match/football/western-sydney-wanderers-l00pXxBN/melbourne-victory-Qql6CzOP/summary/stats/2nd-half/?mid=dU2Ruzj2
13:45;Imagen;AUS;Perth Glory;Brisbane Roar;+;Tim Danaskos;G;8.00%;2.506445462;2.229837972;14.265;12.805;1.233353172;1.082930263;2.316283435;4.73;5.035;9.765;10.81;9.265;1.7625;1.86;3.175;3.39875;0;0.115;0.195;0.16475;0.15;0.15;0.14;0.22;#N/D;2.35;3.4;2.7;1.67;2.1;1.57;2.3;1.233353172;1.082930263;0.394547121;0.281479804;0.321360945;0.405662507;0.591725363;0.425531915;0.294117647;0.37037037;0.598802395;0.476190476;0.090019932;0.074992871;-0.030984794;-0.012637843;-0.049009425;-0.193139888;0.115534887;UNDER2.5;https://www.flashscore.mobi/match/CxoE3wr9/?t=stats;perth-glory-hjY9yg16;brisbane-roar-SSr7kDGC;https://www.flashscore.com/match/football/perth-glory-hjY9yg16/brisbane-roar-SSr7kDGC/summary/stats/2nd-half/?mid=CxoE3wr9
16:00;Imagen;BEL;Leuven;Charleroi;#N/D;Anthony Letellier;G;#N/D;#N/D;#N/D;13.855;11.5;#N/D;#N/D;;4.825;5.54;10.365;12.75;12.355;2.15;2.22;3.725;4.0475;0.035;0.035;0.145;0.11475;0.2;0.11;0;0.155;#N/D;2.8;3.25;2.35;1.85;1.85;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;0.357142857;0.307692308;0.425531915;0.540540541;0.540540541;0.09036708;0.081081081;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;https://www.flashscore.mobi/match/vZt9tE0K/?t=stats;leuven-dYlTycNN;charleroi-WIPDJ0hb;https://www.flashscore.com/match/football/leuven-dYlTycNN/charleroi-WIPDJ0hb/summary/stats/2nd-half/?mid=vZt9tE0K
18:15;Imagen;BEL;Genk;St. Liege;#N/D;Lothar D'hondt;G;#N/D;#N/D;#N/D;16.915;9.145;#N/D;#N/D;;6.85;3.655;10.505;10.72;11.99;1.5;1.96;4.125;3.7925;0.035;0.18;0.28;0.2615;0;0.06;0.37;0.215;#N/D;1.65;3.7;4.75;1.8;1.91;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;0.606060606;0.27027027;0.210526316;0.555555556;0.523560209;0.086857192;0.079115765;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;https://www.flashscore.mobi/match/tQ9fjUSh/?t=stats;genk-r3jWUIiN;st-liege-vsnvCI6G;https://www.flashscore.com/match/football/genk-r3jWUIiN/st-liege-vsnvCI6G/summary/stats/2nd-half/?mid=tQ9fjUSh
20:45;Imagen;BEL;Westerlo;Antwerp;#N/D;Nicolas Laforge;G;#N/D;#N/D;#N/D;15.43;10.14;#N/D;#N/D;;5.46;3.895;9.355;11.145;13.105;1.8875;2.155;4.595;4.31875;0.175;0.07;0.235;0.25175;0.11;0.176470588;0.05;0.168235294;#N/D;2.05;3.3;3.25;1.75;1.95;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;0.487804878;0.303030303;0.307692308;0.571428571;0.512820513;0.098527489;0.084249084;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;https://www.flashscore.mobi/match/C2JeFy2L/?t=stats;westerlo-hYaM5Gqp;antwerp-rVpPxw8H;https://www.flashscore.com/match/football/westerlo-hYaM5Gqp/antwerp-rVpPxw8H/summary/stats/2nd-half/?mid=C2JeFy2L
23:30;Imagen;BRA;Bahia;Santos;+;Ramon Abatti Abel;G;31.67%;5.029521956;1.262553727;14.75;15.25;2.202552381;0.886189968;3.088742349;5.25;6;11.25;;;1.885;2.22;4.865;4.485;0.165;0;0.36;0.2805;0.339285714;0.125;0.4;0.432142857;#N/D;1.67;3.5;4.8;1.91;1.8;1.83;1.91;2.202552381;0.886189968;0.648308809;0.188527241;0.137823749;0.571054941;0.403604857;0.598802395;0.285714286;0.208333333;0.523560209;0.555555556;0.092850014;0.079115765;0.049506414;-0.097187045;-0.070509584;0.047494732;-0.151950698;1;https://www.flashscore.mobi/match/K4gc7Jt4/?t=stats;bahia-UeD7XtzM;santos-n3QdnjFB;https://www.flashscore.com/match/football/bahia-UeD7XtzM/santos-n3QdnjFB/summary/stats/2nd-half/?mid=K4gc7Jt4
23:30;Imagen;BRA;Botafogo RJ;Internacional;+;Fernando Antonio Mendes;G;14.00%;3.804414284;2.615911125;12.5;15.25;1.516571429;1.113753981;2.630325409;4.25;7.25;11.5;;;2.7625;2.45;5.275;5.24375;0.25;0;0.565;0.43575;0.196428571;0.133928571;0.4;0.365178571;#N/D;2.55;2.9;2.8;2.1;1.67;1.83;1.91;1.516571429;1.113753981;0.460618472;0.255888149;0.277772873;0.483436034;0.510843461;0.392156863;0.344827586;0.357142857;0.476190476;0.598802395;0.094127306;0.074992871;0.068461609;-0.088939437;-0.079369984;0.007245557;-0.087958934;1;https://www.flashscore.mobi/match/MkH55xfJ/?t=stats;botafogo-rj-jXzWoWa5;internacional-tSCiHj0I;https://www.flashscore.com/match/football/botafogo-rj-jXzWoWa5/internacional-tSCiHj0I/summary/stats/2nd-half/?mid=MkH55xfJ
23:30;Imagen;BRA;Remo;Cruzeiro;+;Wilton Pereira Sampaio;G;-7.67%;2.547181414;2.835599682;15;13;1.933452381;1.385995382;3.319447763;5.75;5.75;11.5;;;2.5075;2.195;5.2;4.95125;0.125;0;0.28;0.2165;0.0625;0.125;0.3;0.24375;#N/D;3.2;3.1;2.15;1.95;1.75;1.75;1.95;1.933452381;1.385995382;0.489032669;0.220968705;0.272713021;0.627178633;0.355535762;0.3125;0.322580645;0.465116279;0.512820513;0.571428571;0.100196924;0.084249084;0.176532669;-0.10161194;-0.192403258;0.11435812;-0.215892809;1;https://www.flashscore.mobi/match/GWn65cBG/?t=stats;remo-2i0B6Zul;cruzeiro-0SwtclaU;https://www.flashscore.com/match/football/remo-2i0B6Zul/cruzeiro-0SwtclaU/summary/stats/2nd-half/?mid=GWn65cBG
13:00;Imagen;CHI;Chengdu Rongcheng;Zhejiang FC;+;;;60.33%;9.199274261;0.210908347;;;3.706706731;0.593475877;4.300182608;#N/D;#N/D;#N/D;;;1.625;1.875;0;1.75;0;0.125;0;0.0625;0.285714286;0;0;0.142857143;#N/D;1.4;4.5;6.5;1.44;2.5;1.61;2.2;3.706706731;0.593475877;0.738258381;0.064433666;0.026406599;0.631766861;0.197331785;0.714285714;0.222222222;0.153846154;0.694444444;0.4;0.09035409;0.094444444;0.023972667;-0.157788556;-0.127439555;-0.062677584;-0.202668215;1;https://www.flashscore.mobi/match/MFmIYJG6/?t=stats;chengdu-rongcheng-ILi3oBgH;zhejiang-professional-ncsQGOBL;https://www.flashscore.com/match/football/chengdu-rongcheng-ILi3oBgH/zhejiang-professional-ncsQGOBL/summary/stats/2nd-half/?mid=MFmIYJG6
